"geo","year","hourly_wages","hicp","business_investment","low_education","middle_education","high_education","hh_index","partime_contracts","productivity_pp","productivity_1","productivity_2","realgdp_pc","tradeunion_density","training_education_l4w","unemployment"
"Finland",2015,28.5664607725638,96.1723408347759,11.48,19.2,45.3,35.5,0.0489812694055105,14.1,100,99.853,99.784,38350,67.5,26.6,9.4
"Finland",2016,28.6464607887265,96.5474129640315,12.07,18.6,45.5,35.9,0.048473473147619,14.9,102.005,100,99.853,39230,65.699997,27.3,8.9
"Finland",2017,28.2193626124309,97.3552606270437,12.76,18.4,45.2,36.4,0.0466390523870385,15.1,104.741,102.005,100,40430,62.900002,28,8.7
"Finland",2018,28.2658691652423,98.4997114829775,13.21,17.7,45.1,37.3,0.0487033703668086,15.1,103.302,104.741,102.005,40860,60,28.7,7.5
"Finland",2019,28.5046020841449,99.6153106366609,12.98,16.9,44.6,38.5,0.0491004514927963,15.5,103.177,103.302,104.741,41370,58.799999,29,6.8
"France",2004,29.4559419566663,80.436018957346,10.47,36.8,40.8,22.4,0.0598288244157774,16.9,93.08,90.606,89.768,31250,10.5,12,8.9
"France",2005,29.6948603614971,81.9620853080569,10.56,35.5,41.1,23.4,0.0590952236998866,17.1,94.188,93.08,90.606,31610,10.5,11.6,8.9
"France",2008,29.8084493757752,87.5260663507109,11.84,33,42.3,24.8,0.0531565132158233,16.8,96.592,96.717,95.697,32810,10.6,11.6,7.4
"France",2010,30.7142891801274,89.1469194312796,10.71,31.9,41.9,26.2,0.0512333800735279,17.6,96.733,94.928,96.592,32200,10.8,10.6,9.3
"France",2013,31.2421217602713,94.1327014218009,10.84,28,43.1,28.9,0.0475598897835959,18.1,98.742,98.163,98.335,32830,11,21.5,10.3
"France",2016,31.9972407469177,95.0805687203791,11.3,25.5,43.6,30.9,0.0494374121095566,18.3,100.138,100,99.194,33360,10.8,21.7,10.1
"Germany",2009,27.6855975713004,86.578449905482,10.62,22,55.8,22.3,0.0373766851116836,25.3,93.166,98.761,99.255,33870,18.799999,12.6,7.3
"Germany",2010,27.567512788696,87.6181474480151,10.92,21,56.3,22.7,0.0372042044279422,25.6,96.567,93.166,98.761,35360,18.9,12.2,6.6
"Germany",2011,27.6187934573227,89.7920604914934,11.4,18.1,57.6,24.3,0.0371281269383978,25.9,99.061,96.567,93.166,36690,18.4,12.3,5.5
"Germany",2012,28.1554403849608,91.6824196597353,11.32,17.9,57.2,24.9,0.0373583253832142,25.8,98.359,99.061,96.567,36800,18.299999,12.5,5.1
"Germany",2013,28.4899443130348,93.1947069943289,11.07,17.7,57.1,25.2,0.0366712765304873,26.7,98.01,98.359,99.061,36840,18,12.6,5
"Germany",2014,28.8784652891063,93.8563327032136,11.39,19.7,57.1,23.2,0.0377098981005695,26.5,99.251,98.01,98.359,37480,17.700001,12.6,4.7
"Germany",2015,29.4566239513229,94.5179584120983,11.57,19.8,56.4,23.8,0.0388022097790523,26.8,100,99.251,98.01,37770,17.6,12.8,4.4
"Germany",2016,30.0193161161935,94.8960302457467,11.62,19.8,55.7,24.4,0.0371199757376226,26.7,101.009,100,99.251,38330,17,13.1,3.9
"Germany",2017,30.3792750144992,96.5028355387524,11.82,19.8,55.4,24.8,0.0367325436507752,26.9,102.338,101.009,100,39220,16.700001,13.1,3.6
"Germany",2018,30.8559261334222,98.2986767485822,12.16,19.6,55.2,25.2,0.0367257569878881,26.8,102.124,102.338,101.009,39540,16.6,12.9,3.2
"Germany",2019,31.5266588223883,99.7164461247637,12.37,19.5,54.5,26,0.0372444644874954,27.2,102.193,102.124,102.338,39840,16.299999,12.9,3
"Greece",2010,12.4961355908643,98.1219729168726,6.59,38.5,40.6,20.9,0.0424746922607483,6.3,113.12,116.736,120.972,19420,22.200001,8.1,12.9
"Greece",2013,10.18748117894,101.354156370466,4.69,34.5,41.4,24,0.0455319231534559,8.4,99.948,101.676,106.502,15900,23.1,8,27.8
"Greece",2016,9.60489196527801,98.8632993970545,5.84,30,43.5,26.4,0.0372236697407392,9.8,96.682,100,97.277,16270,19,9.1,23.9
"Hungary",2012,7.75138707500746,86.8228015908087,12.61,23.5,57.5,19,0.0841141102335131,6.7,98.413,100.685,98.699,10320,12.5,8.8,10.7
"Hungary",2014,7.20202564979571,88.3252319929297,13.81,22,57.7,20.2,0.0932749583841238,6,98.835,98.934,98.413,11070,11,8.6,7.5
