DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Bulgaria,2012,102.33,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Bulgaria,2013,102.72,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Bulgaria,2014,101.08,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Bulgaria,2015,100.00,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Bulgaria,2016,98.68,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Bulgaria,2017,99.85,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Bulgaria,2018,102.48,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Bulgaria,2019,104.99,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Bulgaria,2020,106.27,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Bulgaria,2021,109.30,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Bulgaria,2022,123.52,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Bulgaria,2023,134.15,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Bulgaria,2024,137.63,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2005,97.43,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2006,98.40,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2007,99.17,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2008,101.51,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2009,100.77,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2010,101.39,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2011,101.49,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2012,100.76,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2013,100.83,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2014,100.84,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2015,100.00,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2016,99.47,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2017,100.11,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2018,101.03,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2019,101.41,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2020,100.56,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2021,101.04,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2022,103.74,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2023,106.10,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Switzerland,2024,107.25,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,1996,66.81,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,1997,69.02,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,1998,70.63,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,1999,71.44,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2000,74.91,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2001,76.40,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2002,78.53,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2003,81.65,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2004,83.20,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2005,84.88,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2006,86.79,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2007,88.67,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2008,92.55,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2009,92.71,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2010,95.09,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2011,98.40,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2012,101.45,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2013,101.84,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2014,101.57,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2015,100.00,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2016,98.78,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2017,99.45,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2018,100.23,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2019,100.78,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2020,99.67,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2021,101.92,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2022,110.17,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2023,114.50,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Cyprus,2024,117.09,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,1996,58.8,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,1997,63.6,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,1998,69.7,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,1999,71.0,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,2000,73.8,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,2001,77.1,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,2002,78.2,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,2003,78.2,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,2004,80.2,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,2005,81.5,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,2006,83.2,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,2007,85.6,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,2008,91.0,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,2009,91.5,
ESTAT:PRC_HICP_AIND(1.0),17/01/25 11:00:00,Annual,Annual average index,All-items HICP,Czechia,2010,92.6,
